id;name;duration;description;language;image_url;publish_date
1;Account b;97607;../fake-data/blob/hipster.txt;Arabe;Lorraine e-services Ball;2023-07-05T13:05:43
2;pink Soap Analyste;70237;../fake-data/blob/hipster.txt;Francais;User-centric calculate;2023-07-04T23:41:10
3;programming;5046;../fake-data/blob/hipster.txt;Arabe;virtual GB Fish;2023-07-05T10:48:40
4;Analyste solid;55392;../fake-data/blob/hipster.txt;Francais;Savings;2023-07-04T20:08:11
5;THX;24245;../fake-data/blob/hipster.txt;Francais;connecting;2023-07-04T18:47:41
6;Table;67062;../fake-data/blob/hipster.txt;Arabe;a GB;2023-07-05T06:51:28
7;Technicien bandwidth;20280;../fake-data/blob/hipster.txt;Anglais;supply-chains;2023-07-04T16:12:05
8;Architecte;97689;../fake-data/blob/hipster.txt;Arabe;Handmade Bacon SQL;2023-07-05T05:53:42
9;Cotton;3312;../fake-data/blob/hipster.txt;Anglais;Midi-Pyrénées Refined;2023-07-05T01:52:30
10;des;8451;../fake-data/blob/hipster.txt;Francais;Architecte Saint-Séverin;2023-07-04T16:14:45
